epoch	train_loss	valid_loss	train_qwk	valid_qwk
0	0.9035774930557118	0.7366107889912327	0.6584643599457716	0.7203473615988552
1	0.7203808623495735	0.7789232635353338	0.737979241895955	0.7530892231706927
2	0.6813718032893501	0.5948167920740368	0.7534328269553188	0.7863810503086064
3	0.6397306676718253	0.6790300998969381	0.7696740854524813	0.7762145704439007
4	0.5478014447549476	0.521861456472742	0.8053365766540211	0.8076001053042111
5	0.5060294216286533	0.5233010995788264	0.8187557700026911	0.8111657614755086
6	0.4814707268076607	0.49702600975037564	0.8294114837018594	0.8160329078129783
7	0.4629996767432629	0.4966614678394509	0.8351356078885166	0.8204648190073338
8	0.4434653685157058	0.48506488323748065	0.8407538362225021	0.8227245239251451
9	0.41495779156684875	0.4758955480212558	0.8515312734549421	0.8263810853389456
10	0.40804700680737255	0.48846440616578063	0.8550397061818611	0.8239698775729117
11	0.40194231573539446	0.4801565282897069	0.8558858817360196	0.8248493769542122
12	0.405396816356084	0.4767721063091605	0.8555846443327659	0.8267627291168848
13	0.3936027254720655	0.46990373461577994	0.8608426171527532	0.83035305402605
14	0.39856210978159423	0.4718495577115483	0.8592218457798755	0.8297427466903324
15	0.40107950073065635	0.4759585718904096	0.856164576995761	0.8238291219276666
16	0.3881408399136006	0.4688962241192643	0.8640451963626414	0.8267096783281799
17	0.38935061746948885	0.4778391667435394	0.8601105883633162	0.827433532467496
18	0.397579514716245	0.47386885664106754	0.8559587355784142	0.8278613181439773
19	0.3856899308488716	0.48473929530385396	0.8624431983326469	0.8229187557439313
20	0.39276102010773706	0.4742940346344928	0.8603560469250079	0.8267181596918735
21	0.3935235170529613	0.4711906591576194	0.8598420701960432	0.8292336560911668
22	0.39528906708465344	0.48202767483249037	0.8594823885512332	0.8238780742066305
23	0.38983325825273235	0.47672590747445415	0.8617637392397485	0.8304317186150931
24	0.40211333258997034	0.47336202794855425	0.8570740259742949	0.8272509019513397
25	0.3925276372723187	0.4647625926167327	0.859910498477549	0.8314591158949136
26	0.39102525499802604	0.4705204684173105	0.862351839023949	0.8294534915221446
27	0.39723493045643915	0.4868686046256813	0.860463500359249	0.8198399395287297
28	0.3898238081815122	0.4671201239342955	0.8622730728607895	0.8311118650362017
29	0.39104810262782663	0.46228698330940204	0.8611338512424811	0.8322285086625063
30	0.3934624964913613	0.47379331612853404	0.8604460684834088	0.821808820675005
31	0.38318032592157775	0.4794813962209354	0.8630385952089679	0.8205684398595506
32	0.39099187875473046	0.4740817875018722	0.8593567692561921	0.8221809547089822
33	0.39687018247344824	0.4727884944063417	0.858775294245935	0.8233569288702522
34	0.39650782650407357	0.48683095683971467	0.8577307072954486	0.8186102924687559
35	0.39547333229757564	0.4658459759147136	0.8586014994720834	0.8311443410296986
36	0.3917196831795611	0.4770798149070691	0.8616909163186732	0.8232952539035939
37	0.38766180841794495	0.487671849094136	0.8621380384303877	0.8254699235063171
38	0.38567999448580076	0.47859361862190525	0.8635968877707836	0.8256933070285073
39	0.39994023848749416	0.47697781008624773	0.8557078929433621	0.8279705297531715
