epoch	train_loss	valid_loss	train_qwk	valid_qwk
0	0.6245839803115182	0.7266586073066877	0.8018457114651865	0.8448773261513214
1	0.4492999258572641	0.44960224887599115	0.8567706240149453	0.8400526469029069
2	0.3703806724237359	0.4161286561385445	0.8714850044738744	0.8813284270298796
3	0.3489845709308334	0.2660111882116484	0.8824482320168854	0.9003593046194134
4	0.2682264925021192	0.22227781622306161	0.9089738572645383	0.9176673817332128
5	0.24618322394140388	0.23077100936485373	0.9179628252237425	0.9140380648361739
6	0.23485025350490343	0.23380559034969495	0.9182910548437686	0.9126655029832078
7	0.23258633522883707	0.223811407128106	0.9230963164021002	0.9229544874393741
8	0.211444479615792	0.218594282541586	0.9293221505910362	0.922275019716219
9	0.20788934276155804	0.22053651090549387	0.9299091424138488	0.9237818836686043
10	0.20443354862863602	0.22386351616486258	0.9288958329566176	0.9230250178188001
11	0.2085443152438687	0.21662436101747595	0.930190866454137	0.9254439961515609
12	0.20766210580325645	0.21459404573492383	0.9304241754829174	0.9273981075304791
13	0.20371790983430718	0.2118513409210288	0.9306440802904904	0.9230890920331954
14	0.20634598714178023	0.22276774081199066	0.9282167989800216	0.9200309462588421
15	0.2004994452404587	0.211909344986729	0.9322046795242773	0.9247046738572162
16	0.19494519747145797	0.22214093415633493	0.934820735614917	0.919879764995218
17	0.19864079748968716	0.21417937589728314	0.9329221341200771	0.9250528187394322
18	0.20837926293682793	0.21594781460969345	0.9284369701617191	0.9191568645297383
19	0.20140318337665952	0.2160982969014541	0.9346267559096016	0.9223245164750121
20	0.21668832400894683	0.22033653829408728	0.9272217494445751	0.9202796972326892
21	0.20540839190716328	0.2180886590934318	0.9314354624387614	0.9244160302796868
22	0.2040628520771861	0.22214845179215723	0.9319888435662734	0.9185103697711747
23	0.19674312671565491	0.2112594292215679	0.9315333999574389	0.9215616369542834
24	0.19551778447044932	0.21723752047704614	0.9359463010860657	0.9236772116073733
25	0.20653455076820176	0.21736500638982523	0.9278389545700131	0.9267697351839952
26	0.2030161468150175	0.22419243727041327	0.9320208312120328	0.914392184236472
27	0.19461933879748636	0.21531582089221996	0.9361487355814281	0.9277654994640848
28	0.20335014626059844	0.22708340151154477	0.9328356175020946	0.9222535047171962
29	0.19610531348735094	0.2078664691551872	0.9321786791741278	0.9275268312505025
30	0.19404051760616509	0.216256239168022	0.9345533134472956	0.9145500231561701
31	0.20373246689205585	0.21585734382919644	0.9312803476923652	0.9137905015797047
32	0.1925523361272138	0.2134083982395089	0.9370705229490521	0.9229293377110878
33	0.19914063944926727	0.21139081016830777	0.9323467393218698	0.9232867367594532
34	0.1914321842967816	0.21773362678030264	0.934248958356717	0.9224489076193331
35	0.20266714522048182	0.217828956635102	0.9298545051371493	0.9202083211047849
36	0.20624525593998638	0.21537015846242075	0.9289771871530111	0.9218975149995398
37	0.2010676803715203	0.2188708289809849	0.932496699482489	0.9230452054816876
38	0.20305288129526636	0.22120535373687744	0.9324969301121571	0.9207008791780653
39	0.19766144118393245	0.21273683465045432	0.935718298963236	0.9217134639637259
